224,129,580,129,580,153,224,153,company_buy
222,153,581,153,581,177,222,177,id_buy
378,21,649,21,649,62,378,62,tittle
223,176,580,176,580,196,223,196,addr_tel_buy
223,195,580,195,580,222,223,222,bank_acco_buy
90,243,313,243,313,260,90,260,goods1
90,260,313,260,313,277,90,277,goods2
90,277,313,277,313,294,90,294,goods3
90,294,313,294,313,311,90,311,goods4
90,311,313,311,313,328,90,328,goods5
90,328,313,328,313,345,90,345,goods6
90,345,313,345,313,362,90,362,goods7
90,362,313,362,313,379,90,379,goods8
90,379,313,379,313,396,90,396,goods9
769,243,821,243,821,260,769,260,tax_rate1
769,260,821,260,821,277,769,277,tax_rate2
769,277,821,277,821,294,769,294,tax_rate3
769,294,821,294,821,311,769,311,tax_rate4
769,311,821,311,821,328,769,328,tax_rate5
769,328,821,328,821,345,769,345,tax_rate6
769,345,821,345,821,362,769,362,tax_rate7
769,362,821,362,821,379,769,379,tax_rate8
769,379,821,379,821,396,769,396,tax_rate9
313,410,708,410,708,442,313,442,ancient_amount
756,409,930,409,930,447,756,447,last_amount
224,444,579,444,579,467,224,467,company_sell
224,467,581,467,581,487,224,487,id_sell
223,487,582,487,582,506,223,506,addr_tel_sell
222,506,579,506,579,529,222,529,bank_acco_sell
